userId,userName,comment,star
0,匿名用户,海鲜非常新鲜。服务态度特别好。特别点赞叶敏玲美女，为我们安排一切，雍和会。有这样的员工，生意一定火爆。节节高。 #海鲜姿造大礼包# #三文鱼刺身# #七彩面# #雪龙单层牛肉# #风生水起捞鱼生姿造# #铁棍山药# #美美肥牛# #特色拉皮# #哈根达斯自助# #萝卜丝饼# #基围虾# #羊肉# #羔羊羊排# #富贵牛肉# #生猛海鲜姿造# #特色凉拌粉皮# #白东星斑姿造# #田园时蔬拼#,50
30313238,Kmk273497420,环境一流，就在光禄坊小河边，二楼露台有美人靠，观景极佳。服务员很热情，动作很快。菜品摆设美观雅致，品味！,40
178085915,aJL809318878,高大上,50
359745707,吾皇巫荒,赏心悦目，眼睛吃饱了，几个女同事说，去三坊七巷一路吃下去吧，没开空调，天气不是很闷热，但吃火锅不够舒适，那桌子四人坐很爽，可我们挤了六人，凳子临时加的，不舒服，菜少，羊排其实是薄薄的片状，没有饮料，口渴，海鲜一点，肉一点，蔬菜多,20
148216387,wcN438527454,环境很好，味道有特色，菜品口感独特，值得品尝。,50
0,匿名用户,食材非常新鲜，美团拍的套餐很实惠。,50
493025778,LjK562300182,请客北方老同学，宾主尽欢。环境也好，菜品新鲜份量足。,50
862380325,EdW324000062,菜品多样新鲜，服务热情周到，招待尊贵客人好去处，强烈推荐。,40
18981918,applesu0311,菜品量是越来越少了，不过环境不错,30
66167088,Linhua1975,朋友来福州，团了6个人的套餐，价格很实惠，平均每人100多元，环境不错，正好接待朋友。调味料的品种很多，餐前水果和养生粥都很不错。各种海鲜很新鲜，牛羊肉品也很好，摆盘漂亮，有纸伞和纸扇，朋友要带回去给孩子玩，问了可以拿。服务很周到。,40
0,匿名用户,吃了一次又一次，还会再有下一次 #海鲜姿造大礼包# #三文鱼刺身# #风生水起捞鱼生姿造# #七彩面# #哈根达斯自助# #萝卜丝饼# #富贵牛肉# #水果拼盘# #三文鱼金枪鱼# #海味清汤锅#,40
